"","cultura","area","dados_solo","dados_clima.previsao","dados_clima.temperatura","dados_clima.umidade","insumos_recomendados.fertilizante","insumos_recomendados.herbicida"
"1","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"2","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"3","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"4","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"5","cana-de-acucar",584.5671,argiloso,chuva,15,15,0.5208493,0.1893998
"6","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"7","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"8","cana-de-acucar",375.0000,argiloso,chuva,15,15,0.3341250,0.1215000
"9","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"10","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"11","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"12","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"13","cafe",584.5671,argiloso,chuva,15,15,0.7102491,0.1420498
"14","cana-de-acucar",225.0000,argiloso,chuva,15,15,0.2004750,0.0729000
